,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
0,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4,D
1,Female,Yes,38,Yes,Engineer,0.0,Average,3.0,Cat_4,A
2,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6,B
3,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B
4,Female,Yes,40,Yes,Entertainment,0.0,High,6.0,Cat_6,A
5,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6,C
6,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,C
7,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
8,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7,D
9,Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6,C
10,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6,A
11,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4,D
12,Female,No,19,No,Executive,0.0,Low,,Cat_3,D
13,Male,Yes,70,No,Lawyer,0.0,Low,1.0,Cat_6,A
14,Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3,B
15,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1,C
16,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3,D
17,Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6,B
18,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,B
19,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6,C
20,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3,A
21,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6,D
22,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,A
23,Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6,B
24,Female,,58,No,Executive,1.0,Average,3.0,Cat_3,B
25,Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6,C
26,Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4,A
27,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,C
28,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,B
29,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6,C
30,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6,C
